country,survey_year,survey_source,survey_id,population,indicator,admin_level,admin_name,admin_norm,estimate,se,ci_l,ci_u,unweighted_n,survey_order,survey_label
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Kongo Central,kongo central,33.41584,10.045292,13.727429,53.104251,31,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Kwango,kwango,44.693695,6.531242,31.892697,57.494694,96,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Kwango,kwango,37.228222,4.155917,29.082775,45.37367,94,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Kwilu,kwilu,25.384398,6.69795,12.256658,38.512138,125,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Kwilu,kwilu,36.643747,6.404992,24.090194,49.1973,70,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Lomami,lomami,39.509656,7.527756,24.755524,54.263787,172,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Lomami,lomami,42.555252,5.575213,31.628034,53.482469,100,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Lualaba,lualaba,42.186418,4.560302,33.24839,51.124446,83,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Lualaba,lualaba,39.955468,5.286212,29.594682,50.316253,131,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Mai-Ndombe,mai ndombe,50.046181,9.831228,30.777329,69.315034,82,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Mai-Ndombe,mai ndombe,48.549885,11.685856,25.646029,71.453741,40,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Maniema,maniema,70.29766,7.901277,54.811442,85.783879,81,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Maniema,maniema,53.703277,3.877401,46.10371,61.302844,148,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Mongala,mongala,51.222973,4.831603,41.753206,60.69274,75,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Mongala,mongala,38.775898,5.48023,28.034844,49.516952,147,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Nord-Kivu,nord kivu,41.504396,6.894778,27.99088,55.017912,160,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Nord-Kivu,nord kivu,83.455488,5.173489,73.315635,93.595341,120,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Nord Ubangi,nord ubangi,30.798691,6.135368,18.77359,42.823792,86,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Nord Ubangi,nord ubangi,51.104009,7.896643,35.626874,66.581145,135,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Sankuru,sankuru,38.753164,6.577873,25.86077,51.645558,114,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Sankuru,sankuru,64.205612,13.534251,37.678967,90.732257,64,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Sud-Kivu,sud kivu,46.088107,3.627114,38.979094,53.197119,222,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Sud-Kivu,sud kivu,54.834524,5.276128,44.493504,65.175544,166,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Sud Ubangi,sud ubangi,34.756893,7.340469,20.369838,49.143949,96,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Sud Ubangi,sud ubangi,53.86655,5.895,42.312563,65.420538,141,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Tanganyika,tanganyika,48.990533,10.960376,27.508591,70.472476,83,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Tanganyika,tanganyika,34.47364,9.132693,16.573891,52.373389,61,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Tshopo,tshopo,44.168516,8.463498,27.580364,60.756667,37,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Tshopo,tshopo,33.603736,6.108298,21.631691,45.575781,132,2,2023–24 DHS
DRC,2013,DHS,,,diarrhea_care_seeking,ADM1,Tshuapa,tshuapa,27.749667,4.674759,18.587308,36.912027,85,1,2013 DHS
DRC,2024,DHS,,,diarrhea_care_seeking,ADM1,Tshuapa,tshuapa,42.056831,3.975268,34.265448,49.848213,159,2,2023–24 DHS
DRC,2013,DHS,,,dpt3,ADM1,Bas-Uele,bas uele,34.678805,4.425447,26.005087,43.352522,93,1,2013 DHS
DRC,2024,DHS,,,dpt3,ADM1,Bas-Uele,bas uele,14.173656,4.589336,5.178723,23.168589,116,2,2023–24 DHS
DRC,2013,DHS,,,dpt3,ADM1,Equateur,equateur,60.559545,6.607746,47.608601,73.510489,114,1,2013 DHS
DRC,2024,DHS,,,dpt3,ADM1,Equateur,equateur,28.415258,6.197391,16.268595,40.56192,150,2,2023–24 DHS
DRC,2013,DHS,,,dpt3,ADM1,Haut-Katanga,haut katanga,68.322185,8.374448,51.908568,84.735802,118,1,2013 DHS
DRC,2024,DHS,,,dpt3,ADM1,Haut-Katanga,haut katanga,58.372427,4.027212,50.479235,66.265618,202,2,2023–24 DHS
DRC,2013,DHS,,,dpt3,ADM1,Haut-Lomami,haut lomami,50.118121,7.80387,34.822817,65.413425,121,1,2013 DHS
DRC,2024,DHS,,,dpt3,ADM1,Haut-Lomami,haut lomami,37.660593,5.291128,27.290173,48.031014,221,2,2023–24 DHS
DRC,2013,DHS,,,dpt3,ADM1,Haut-Uele,haut uele,37.521998,17.899309,2.439996,72.603999,73,1,2013 DHS
DRC,2024,DHS,,,dpt3,ADM1,Haut-Uele,haut uele,25.43724,6.94585,11.823625,39.050856,93,2,2023–24 DHS
DRC,2013,DHS,,,dpt3,ADM1,Ituri,ituri,57.465769,9.694247,38.465393,76.466145,101,1,2013 DHS
DRC,2024,DHS,,,dpt3,ADM1,Ituri,ituri,56.29713,6.751291,43.064843,69.529417,176,2,2023–24 DHS
DRC,2013,DHS,,,dpt3,ADM1,Kasai,kasai,44.265354,6.009352,32.487242,56.043467,148,1,2013 DHS
DRC,2024,DHS,,,dpt3,ADM1,Kasai,kasai,31.802401,5.46691,21.087455,42.517348,182,2,2023–24 DHS
DRC,2013,DHS,,,dpt3,ADM1,Kasai Central,kasai central,64.828468,7.773709,49.592279,80.064657,148,1,2013 DHS
DRC,2024,DHS,,,dpt3,ADM1,Kasai Central,kasai central,69.006412,6.187316,56.879496,81.133329,222,2,2023–24 DHS
DRC,2013,DHS,,,dpt3,ADM1,Kasai Oriental,kasai oriental,70.455078,3.56798,63.461965,77.448191,133,1,2013 DHS
